hipot,plan_pensiones,fondo_inversion,acciones,renta_fija,prest_pers,tarj_cred,cta_ahorro/depos_pzo,seg_vida,seg_med,cripto,ID,year,age_bracket,edu_level,labor_categ
0,0,0,0,0,0,0,1,1,0,0,2016_157,2016,18-34,Primary,Asalariado
0,1,0,0,1,0,0,1,1,1,0,2016_158,2016,45-54,Secondary,Autónomo
0,0,0,0,0,1,1,0,0,0,0,2016_159,2016,45-54,Primary,Otros inactivos
0,0,0,0,0,1,1,0,0,0,0,2016_160,2016,55-64,University,Jubilado
0,0,0,0,0,0,0,0,0,0,0,2016_161,2016,18-34,Secondary,Otros inactivos
0,0,0,0,0,1,1,0,0,0,0,2016_162,2016,18-34,Secondary,Asalariado
0,0,0,0,0,0,0,0,0,0,0,2016_163,2016,45-54,Primary,Otros inactivos
0,0,0,0,0,0,0,0,0,0,0,2016_164,2016,65-79,Primary,Jubilado
0,0,0,0,0,0,1,0,0,0,0,2016_165,2016,18-34,Primary,Otros inactivos
0,0,0,0,0,0,0,0,0,0,0,2016_166,2016,18-34,University,Otros inactivos
0,0,0,0,0,0,0,0,0,0,0,2016_167,2016,35-44,Primary,Asalariado
0,0,0,0,0,0,0,0,0,0,0,2016_168,2016,45-54,University,Asalariado
0,0,0,0,0,0,0,0,0,0,0,2016_169,2016,55-64,Secondary,Asalariado
0,0,0,0,0,0,0,0,0,0,0,2016_170,2016,45-54,Primary,Otros inactivos
0,0,0,0,0,1,0,0,0,0,0,2016_171,2016,55-64,University,Asalariado
0,0,0,0,0,0,0,0,0,0,0,2016_172,2016,65-79,Primary,Jubilado
0,0,0,0,0,0,0,0,0,0,0,2016_173,2016,65-79,Primary,Otros inactivos
0,0,0,0,0,0,0,0,0,0,0,2016_174,2016,18-34,Primary,Desempleado
0,0,0,0,0,1,0,0,0,0,0,2016_175,2016,18-34,Primary,Desempleado
0,0,0,0,0,1,0,0,0,0,0,2016_176,2016,45-54,Primary,Autónomo
0,0,0,0,0,0,0,0,0,0,0,2016_177,2016,45-54,University,Asalariado
0,0,0,0,0,1,0,0,0,0,0,2016_178,2016,55-64,University,Asalariado
0,0,0,0,0,0,1,1,1,0,0,2016_179,2016,18-34,Primary,Asalariado
0,0,0,0,0,0,0,0,0,0,0,2016_180,2016,18-34,Primary,Desempleado
0,0,0,0,0,0,0,0,0,0,0,2016_181,2016,35-44,Primary,Otros inactivos
0,0,0,0,0,0,0,0,0,0,0,2016_182,2016,45-54,Primary,Desempleado
0,0,0,0,0,0,0,0,0,0,0,2016_183,2016,45-54,Primary,Desempleado
0,0,1,0,0,0,1,1,0,0,0,2016_184,2016,55-64,University,Asalariado
0,0,0,0,0,0,0,0,0,0,0,2016_185,2016,55-64,Primary,Otros inactivos
0,0,0,0,0,0,0,0,0,0,0,2016_186,2016,65-79,Primary,Otros inactivos
0,0,0,0,0,0,0,0,0,0,0,2016_187,2016,18-34,Secondary,Otros inactivos
0,0,0,0,0,0,0,0,0,0,0,2016_188,2016,18-34,University,Otros inactivos
0,0,0,0,0,0,0,0,0,0,0,2016_189,2016,18-34,University,Asalariado
0,0,0,0,0,1,1,0,0,0,0,2016_190,2016,45-54,Primary,Autónomo
0,0,0,0,0,1,0,0,0,0,0,2016_191,2016,55-64,Primary,Otros inactivos
0,0,0,0,0,0,0,0,0,0,0,2016_192,2016,18-34,Primary,Otros inactivos
0,0,0,0,0,0,0,0,1,1,0,2016_193,2016,18-34,University,Desempleado
0,0,0,0,0,0,0,1,0,0,0,2016_194,2016,35-44,Primary,Asalariado
0,0,0,0,0,0,0,0,0,0,0,2016_195,2016,35-44,Primary,Otros inactivos
0,0,0,0,0,0,0,0,0,0,0,2016_196,2016,55-64,Primary,Otros inactivos
0,0,0,0,0,0,0,0,0,0,0,2016_197,2016,65-79,Primary,Otros inactivos
0,0,0,0,0,0,0,0,0,0,0,2016_198,2016,35-44,Primary,Desempleado
0,0,0,0,0,1,0,0,0,0,0,2016_199,2016,45-54,Primary,Otros inactivos
0,0,0,0,0,0,0,0,0,0,0,2016_200,2016,18-34,Primary,Asalariado
0,0,0,1,0,1,0,0,1,0,0,2016_201,2016,18-34,University,Desempleado
0,0,0,0,0,0,1,0,0,0,0,2016_202,2016,35-44,Primary,Desempleado
0,0,0,0,0,1,0,0,1,0,0,2016_203,2016,55-64,Secondary,Jubilado
0,0,0,0,0,0,0,0,0,0,0,2016_204,2016,55-64,Primary,Otros inactivos
0,0,0,0,0,0,0,0,0,0,0,2016_205,2016,18-34,Primary,Autónomo
1,0,0,0,0,0,0,0,0,0,0,2016_206,2016,35-44,Primary,Otros inactivos
1,0,0,1,0,0,1,0,0,0,0,2016_207,2016,45-54,Primary,Desempleado
0,0,0,0,0,0,0,0,0,0,0,2016_208,2016,55-64,Primary,Desempleado
0,0,0,0,0,0,0,0,0,0,0,2016_209,2016,65-79,Primary,Jubilado
0,0,0,0,0,0,0,0,1,1,0,2016_210,2016,18-34,Secondary,Otros inactivos
0,0,0,0,0,0,0,0,0,0,0,2016_211,2016,18-34,University,Desempleado
0,0,0,0,0,0,0,0,0,0,0,2016_212,2016,35-44,Primary,Otros inactivos
0,0,0,0,0,0,0,0,0,0,0,2016_213,2016,65-79,Primary,Jubilado
0,0,0,0,0,0,0,0,0,0,0,2016_214,2016,18-34,Primary,Otros inactivos
0,0,0,0,0,1,0,0,0,0,0,2016_215,2016,18-34,Primary,Desempleado
0,0,0,0,0,0,0,0,0,1,0,2016_216,2016,35-44,University,Autónomo
0,0,0,0,0,0,0,0,0,0,0,2016_217,2016,55-64,Primary,Desempleado
0,0,0,0,0,0,0,0,0,0,0,2016_218,2016,65-79,Primary,Otros inactivos
0,1,0,0,0,0,0,0,0,0,0,2016_219,2016,35-44,Primary,Desempleado
0,0,0,0,0,0,0,0,0,0,0,2016_220,2016,45-54,Primary,Asalariado
0,0,0,0,0,0,0,0,0,0,0,2016_221,2016,55-64,Primary,Asalariado
0,0,0,0,0,0,0,0,0,0,0,2016_222,2016,65-79,Primary,Jubilado
0,0,0,0,0,0,0,0,0,0,0,2016_223,2016,65-79,Primary,Jubilado
0,0,0,0,0,0,0,0,0,0,0,2016_224,2016,65-79,Primary,Jubilado
0,0,0,0,0,0,1,0,0,0,0,2016_225,2016,18-34,Secondary,Otros inactivos
0,0,0,0,0,0,0,0,0,0,0,2016_226,2016,18-34,University,Asalariado
0,0,0,0,0,0,0,0,0,0,0,2016_227,2016,45-54,Primary,Otros inactivos
0,0,1,1,0,0,0,0,0,0,0,2016_228,2016,45-54,University,Asalariado
0,0,0,0,0,0,0,0,0,0,0,2016_229,2016,55-64,University,Asalariado
0,0,0,0,0,0,0,0,0,0,0,2016_230,2016,55-64,Secondary,Jubilado
0,0,0,0,0,0,0,0,0,0,0,2016_231,2016,18-34,Secondary,Otros inactivos
0,0,0,0,0,0,0,1,0,0,0,2016_232,2016,18-34,University,Otros inactivos
0,0,0,0,0,0,0,0,0,0,0,2016_233,2016,45-54,Primary,Desempleado
0,0,0,0,0,0,0,0,0,0,0,2016_234,2016,65-79,Primary,Otros inactivos
0,0,0,0,0,0,0,0,0,0,0,2016_235,2016,18-34,Primary,Desempleado
0,0,0,0,0,0,0,0,0,0,0,2016_236,2016,18-34,Primary,Desempleado
0,0,0,0,0,0,0,0,0,0,0,2016_237,2016,18-34,Secondary,Desempleado
0,0,0,0,0,0,0,0,0,0,0,2016_238,2016,35-44,Primary,Autónomo
0,0,0,0,0,0,0,0,0,0,0,2016_239,2016,45-54,University,Desempleado
0,0,0,0,0,0,0,0,0,0,0,2016_240,2016,55-64,Primary,Asalariado
0,0,0,0,0,0,0,0,0,0,0,2016_241,2016,65-79,Secondary,Jubilado
0,0,0,0,0,0,0,0,0,0,0,2016_242,2016,18-34,Secondary,Otros inactivos
0,0,0,0,0,0,0,0,0,0,0,2016_243,2016,45-54,University,Asalariado
0,0,0,0,0,0,0,0,0,0,0,2016_244,2016,55-64,Primary,Jubilado
0,0,0,0,0,1,0,0,0,0,0,2016_245,2016,65-79,Secondary,Otros inactivos
0,0,0,0,0,1,0,0,0,0,0,2016_246,2016,45-54,Primary,Otros inactivos
1,0,0,0,0,0,1,0,1,0,0,2016_247,2016,18-34,University,Asalariado
0,1,0,0,0,0,0,1,0,0,0,2016_248,2016,35-44,University,Asalariado
0,0,0,0,0,0,0,0,0,0,0,2016_249,2016,35-44,University,Asalariado
0,0,0,1,0,0,0,1,0,0,0,2016_250,2016,65-79,University,Jubilado
0,0,0,0,0,0,0,0,0,0,0,2016_251,2016,65-79,University,Jubilado
0,0,0,0,0,0,0,0,0,0,0,2016_252,2016,65-79,Primary,Otros inactivos
0,0,0,0,0,0,0,0,0,0,0,2016_253,2016,65-79,Primary,Jubilado
0,0,0,0,0,0,0,0,0,0,0,2016_254,2016,18-34,Secondary,Otros inactivos
0,0,0,0,0,0,1,0,0,0,0,2016_255,2016,45-54,Primary,Otros inactivos
0,0,0,0,0,0,0,0,0,0,0,2016_256,2016,45-54,University,Asalariado
0,0,0,0,0,0,0,0,0,0,0,2016_257,2016,55-64,Secondary,Jubilado
0,0,0,0,0,0,0,0,0,0,0,2016_258,2016,65-79,Primary,Jubilado
0,0,0,0,0,1,0,0,0,0,0,2016_259,2016,55-64,University,Jubilado
0,0,0,0,0,0,1,0,1,0,0,2016_260,2016,18-34,University,Desempleado
0,0,0,0,0,0,0,0,0,0,0,2016_261,2016,65-79,Primary,Jubilado
0,0,0,0,0,0,0,0,0,0,0,2016_262,2016,55-64,Primary,Autónomo
0,0,0,0,0,0,1,0,0,0,0,2016_263,2016,55-64,Primary,Otros inactivos
0,0,0,0,0,0,0,0,0,0,0,2016_264,2016,65-79,Primary,Otros inactivos
0,0,0,0,0,0,0,0,0,0,0,2016_265,2016,35-44,Secondary,Asalariado
0,0,0,0,0,0,0,0,0,0,0,2016_266,2016,55-64,Primary,Desempleado
0,0,0,0,0,0,0,0,0,0,0,2016_267,2016,65-79,Primary,Jubilado
0,0,0,0,0,0,0,0,0,0,0,2016_268,2016,18-34,University,Desempleado
0,0,0,0,0,1,1,0,1,0,0,2016_269,2016,35-44,Primary,Asalariado
0,0,0,0,0,1,1,0,0,1,0,2016_270,2016,55-64,Primary,Autónomo
0,0,0,0,0,0,1,0,0,0,0,2016_271,2016,55-64,Secondary,Jubilado
0,0,0,0,0,0,1,0,0,0,0,2016_272,2016,18-34,Secondary,Desempleado
0,0,0,0,0,0,0,0,0,0,0,2016_273,2016,18-34,Secondary,Asalariado
0,0,0,0,0,1,0,0,1,0,0,2016_274,2016,18-34,University,Asalariado
0,0,0,0,0,0,1,0,0,0,0,2016_275,2016,45-54,University,Asalariado
0,0,0,0,0,1,0,0,0,0,0,2016_276,2016,45-54,Primary,Asalariado
0,0,0,0,0,0,0,0,0,0,0,2016_277,2016,55-64,Primary,Otros inactivos
0,0,0,0,0,0,0,0,0,0,0,2016_278,2016,18-34,Primary,Otros inactivos
1,0,0,0,0,0,1,0,1,0,0,2016_279,2016,18-34,Secondary,Asalariado
0,0,0,0,0,0,0,0,0,0,0,2016_280,2016,35-44,University,Asalariado
0,0,0,0,0,1,0,0,0,0,0,2016_281,2016,35-44,Primary,Autónomo
0,0,0,0,0,1,0,0,0,0,0,2016_282,2016,45-54,Primary,Asalariado
0,0,0,0,0,1,0,0,0,0,0,2016_283,2016,55-64,Primary,Autónomo
0,0,0,0,0,0,0,0,0,0,0,2016_284,2016,18-34,University,Autónomo
0,0,0,0,0,0,0,0,0,0,0,2016_285,2016,45-54,Primary,Desempleado
0,0,0,0,0,1,0,0,0,0,0,2016_286,2016,55-64,Primary,Jubilado
0,0,0,0,0,0,0,0,0,0,0,2016_287,2016,65-79,Primary,Otros inactivos
0,0,0,0,0,0,0,0,0,0,0,2016_288,2016,18-34,Secondary,Otros inactivos
0,0,0,0,0,0,0,0,0,0,0,2016_289,2016,45-54,Primary,Autónomo
0,0,0,0,0,0,0,0,0,0,0,2016_290,2016,65-79,Primary,Jubilado
0,0,0,0,0,0,1,0,0,0,0,2016_291,2016,18-34,Primary,Otros inactivos
0,0,0,0,0,0,0,0,0,0,0,2016_292,2016,18-34,Secondary,Otros inactivos
0,0,0,0,0,0,0,0,0,0,0,2016_293,2016,55-64,Primary,Otros inactivos
0,0,0,0,0,0,0,0,0,0,0,2016_294,2016,65-79,Primary,Jubilado
0,0,0,0,0,0,0,0,0,0,0,2016_295,2016,18-34,University,Otros inactivos
0,0,0,0,0,0,1,1,0,0,0,2016_296,2016,18-34,University,Autónomo
0,0,0,0,0,0,0,0,0,0,0,2016_297,2016,35-44,Primary,Autónomo
0,0,0,0,0,0,0,0,0,0,0,2016_298,2016,45-54,Primary,Asalariado
0,0,0,0,0,0,0,0,0,0,0,2016_299,2016,18-34,Secondary,Desempleado
0,0,0,0,0,0,1,1,0,0,0,2016_300,2016,35-44,University,Asalariado
